voyage_id,fixture_display_order,commission_type,org_group,org_name,external_id,rate
F07C63363AA52CE4DA88F51E243FDF49,1,Charterer,TRAFIGURA,Trafigura Maritime Logistics Pte Ltd,10128,2.5
F07C63363AA52CE4DA88F51E243FDF49,1,Broker,Gibson,E.A.Gibson Shipbrokers Ltd,103726,1.25
F07C63363AA52CE4DA88F51E243FDF49,1,Agent,Stena Bulk,,,1.0
F07C63363AA52CE4DA88F51E243FDF49,1,Co Broker,,,,0.0
8C8ABAED635849EDC99CCFB4A699F593,1,Charterer,Mitsubishi,,,0.0
8C8ABAED635849EDC99CCFB4A699F593,1,Broker,Signal Chart,,,2.5
8C8ABAED635849EDC99CCFB4A699F593,1,Agent,Stena Bulk,,,2.0
8C8ABAED635849EDC99CCFB4A699F593,1,Co Broker,,,,0.0
5F1D3AE7140B97ECE1CEE7C339C38316,1,Charterer,SHELL,Shell International Trading and Shipping Company Limited,1609,1.25
5F1D3AE7140B97ECE1CEE7C339C38316,1,Broker,Charles R We,"CHARLES R. WEBER COMPANY,INC",101213,1.25
5F1D3AE7140B97ECE1CEE7C339C38316,1,Agent,,,,0.0
5F1D3AE7140B97ECE1CEE7C339C38316,1,Co Broker,SHELL,,,0.0
6227748A22F3EDA151AC211A23A49947,1,Charterer,MERCURIA,Mercuria Energy Trading SA,10053,2.5
6227748A22F3EDA151AC211A23A49947,1,Broker,True North C,True North Chartering,50082,1.25
6227748A22F3EDA151AC211A23A49947,1,Agent,,,,0.0
6227748A22F3EDA151AC211A23A49947,1,Co Broker,,,,0.0
DD73A9657D7609C9AD24445398408847,1,Charterer,Petco Tradin,Petco Trading (UK) Limited,10328,2.5
DD73A9657D7609C9AD24445398408847,1,Broker,Marex Spectr,Marex Spectron International LTD,50099,1.25
DD73A9657D7609C9AD24445398408847,1,Agent,,,,0.0
DD73A9657D7609C9AD24445398408847,1,Co Broker,,,,0.0
A0B05E14B72C5C9A088FCB75D2DA2B14,1,Charterer,Glencore,Glencore Agriculture B.V.,10177,1.25
A0B05E14B72C5C9A088FCB75D2DA2B14,1,Broker,RVB Shipbrok,,,1.25
A0B05E14B72C5C9A088FCB75D2DA2B14,1,Agent,Stena Bulk,,,2.0
A0B05E14B72C5C9A088FCB75D2DA2B14,1,Co Broker,,,,0.0
