voyage_id,fixture_display_order,port_id,port_name,activity_type,display_order
F07C63363AA52CE4DA88F51E243FDF49,1,3128.0,Ruwais,L,0
F07C63363AA52CE4DA88F51E243FDF49,1,590.0,Campana,D,1
F07C63363AA52CE4DA88F51E243FDF49,1,94.0,Alpha Zone (Tsa),D,2
8C8ABAED635849EDC99CCFB4A699F593,1,4470.0,Taixing (Jiangsu),L,0
8C8ABAED635849EDC99CCFB4A699F593,1,533.0,Bunbury,D,1
8C8ABAED635849EDC99CCFB4A699F593,1,2983.0,Qingdao (formerly Tsingtao),L,2
8C8ABAED635849EDC99CCFB4A699F593,1,3143.0,Sakai,L,2
5F1D3AE7140B97ECE1CEE7C339C38316,1,4692.0,Egina FPSO,L,0
5F1D3AE7140B97ECE1CEE7C339C38316,1,599.0,Canaport SBM,D,1
6227748A22F3EDA151AC211A23A49947,1,796.0,Corpus Christi,L,0
6227748A22F3EDA151AC211A23A49947,1,3113.0,Rotterdam,D,1
DD73A9657D7609C9AD24445398408847,1,3626.0,Tanjung Pelepas,D,0
DD73A9657D7609C9AD24445398408847,1,2500.0,Offshore Malta No.1 TSA,L,1
DD73A9657D7609C9AD24445398408847,1,204.0,"Augusta, (Sicily), Italy",L,2
DD73A9657D7609C9AD24445398408847,1,3360.0,Singapore,D,3
A0B05E14B72C5C9A088FCB75D2DA2B14,1,3184.0,"San Lorenzo, Argentina",L,0
A0B05E14B72C5C9A088FCB75D2DA2B14,1,362.0,Beira,D,1
A0B05E14B72C5C9A088FCB75D2DA2B14,1,2097.0,Maputo,D,2
A0B05E14B72C5C9A088FCB75D2DA2B14,1,712.0,Chittagong,D,3
A0B05E14B72C5C9A088FCB75D2DA2B14,1,1362.0,Haldia,D,4
1E418B9D3DEAB7C4CFFA858581C852DF,1,1819.0,Kribi,L,0
1E418B9D3DEAB7C4CFFA858581C852DF,1,1142.0,Fos,D,1
B366A5BAD96F234CFB2FDD2B1FDF930E,1,1473.0,Honiara,L,0
B366A5BAD96F234CFB2FDD2B1FDF930E,1,4629.0,Kimbe,L,1
B366A5BAD96F234CFB2FDD2B1FDF930E,1,3113.0,Rotterdam,D,2
B366A5BAD96F234CFB2FDD2B1FDF930E,1,4678.0,Bialla,L,3
